epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.65811,1.48488,2.72067,1.27786,0.79976,0.12187,0.31025,0.21002,1.15699,2.56608,1.08691,0.00026,0.00026,0.00026
2,8.15154,1.15205,1.45059,1.02908,0.2739,0.60333,0.43878,0.31776,0.98594,2.39214,0.97598,0.00051327,0.00051327,0.00051327
3,11.6603,0.99812,1.26524,0.99627,0.06997,0.84466,0.62915,0.40472,1.00688,2.47685,1.02449,0.00073882,0.00073882,0.00073882
4,15.55,1.07233,1.1906,0.99742,0.05623,0.681,0.36875,0.23116,1.08862,2.73077,1.12263,0.00093665,0.00093665,0.00093665
5,18.8575,1.02302,1.09353,0.99063,0.85653,0.26497,0.53169,0.33486,1.06802,2.35824,1.09368,0.00110676,0.00110676,0.00110676
6,22.1292,0.96882,1.03659,0.97393,0.50026,0.48821,0.5095,0.34921,0.9459,1.73168,0.98924,0.00124915,0.00124915,0.00124915
7,25.5146,0.98016,1.00944,0.97655,0.65968,0.51595,0.56905,0.4095,0.9443,1.78778,0.99887,0.00136382,0.00136382,0.00136382
8,29.7906,0.93355,1.01498,0.96259,0.7361,0.78147,0.80587,0.56671,0.90952,1.25115,0.98044,0.001307,0.001307,0.001307
9,33.1683,0.89001,0.9519,0.95147,0.76384,0.81553,0.81964,0.61137,0.85587,1.07638,0.96602,0.001208,0.001208,0.001208
10,36.4414,0.8592,0.94066,0.94808,0.7754,0.76838,0.81536,0.63393,0.82101,1.16247,0.95981,0.001109,0.001109,0.001109
11,40.8027,0.82288,0.92826,0.93862,0.77487,0.82247,0.84261,0.66395,0.79541,0.90095,0.94921,0.00101,0.00101,0.00101
12,43.5745,0.81307,0.90978,0.93555,0.73158,0.84189,0.82451,0.66171,0.7435,0.9582,0.92312,0.000911,0.000911,0.000911
13,46.1981,0.80088,0.96591,0.92271,0.76137,0.81692,0.8402,0.63467,0.81321,0.95623,0.95351,0.000812,0.000812,0.000812
14,49.2371,0.82871,0.91192,0.91663,0.76891,0.85576,0.81709,0.65224,0.74821,0.97612,0.93984,0.000713,0.000713,0.000713
15,52.051,0.81598,0.85821,0.91379,0.74672,0.83825,0.83875,0.66838,0.72803,0.8784,0.92999,0.000614,0.000614,0.000614
16,54.8524,0.78251,0.8345,0.9073,0.73294,0.86546,0.83833,0.68623,0.69207,0.85374,0.9138,0.000515,0.000515,0.000515
17,57.6711,0.73359,0.79172,0.90599,0.77263,0.83495,0.84869,0.68737,0.69616,0.81326,0.91394,0.000416,0.000416,0.000416
18,60.6839,0.75137,0.78277,0.90405,0.78589,0.8298,0.86332,0.70151,0.68683,0.7696,0.90988,0.000317,0.000317,0.000317
19,63.4435,0.69967,0.77046,0.89499,0.78611,0.83495,0.86617,0.70807,0.67938,0.76632,0.9031,0.000218,0.000218,0.000218
20,66.1948,0.72232,0.75116,0.89136,0.76732,0.86685,0.86674,0.70958,0.6769,0.74744,0.89916,0.000119,0.000119,0.000119
