epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.43165,1.44218,3.18328,1.24489,0.04051,0.87656,0.3024,0.21992,0.95601,2.82373,0.96002,0.00026,0.00026,0.00026
2,8.99108,1.22782,2.17471,1.00871,0.03962,0.85714,0.42746,0.30819,0.96489,2.68041,0.95869,0.00051327,0.00051327,0.00051327
3,12.8137,1.14027,1.6055,1.00564,0.67536,0.40638,0.43972,0.3156,1.01603,2.51862,0.98817,0.00073882,0.00073882,0.00073882
4,16.7784,1.13884,1.28047,0.99259,0.04314,0.93343,0.57126,0.3477,1.04904,2.56552,1.09017,0.00093665,0.00093665,0.00093665
5,21.2351,1.06932,1.14147,0.99091,0.7965,0.114,0.46896,0.30835,1.00284,2.40169,1.00192,0.00110676,0.00110676,0.00110676
6,24.9835,1.02361,1.10294,0.98202,0.72738,0.55479,0.65915,0.47637,0.94058,1.78438,0.9654,0.00124915,0.00124915,0.00124915
7,28.8648,1.02739,1.06808,0.98019,0.66378,0.5887,0.63965,0.43632,1.00511,1.69768,1.01128,0.00136382,0.00136382,0.00136382
8,32.9328,0.98675,1.07947,0.97699,0.74886,0.79407,0.80086,0.57052,0.94777,1.22536,0.99444,0.001307,0.001307,0.001307
9,37.2443,0.92858,1.0217,0.95709,0.71376,0.86118,0.81906,0.62574,0.83144,1.00443,0.92793,0.001208,0.001208,0.001208
10,42.5015,0.90776,1.02115,0.95782,0.68976,0.81969,0.78213,0.61705,0.78461,1.05594,0.91414,0.001109,0.001109,0.001109
11,47.4904,0.87374,0.98454,0.94738,0.68542,0.80166,0.77888,0.59416,0.84658,1.06406,0.9486,0.00101,0.00101,0.00101
12,51.5076,0.84276,0.9437,0.93677,0.70952,0.81831,0.80707,0.64217,0.78428,1.04443,0.93038,0.000911,0.000911,0.000911
13,55.0645,0.81473,1.00961,0.92507,0.68392,0.83218,0.78787,0.61143,0.81441,1.03557,0.94596,0.000812,0.000812,0.000812
14,58.6049,0.83456,0.94545,0.91278,0.75298,0.84556,0.8523,0.6719,0.77391,0.90235,0.91358,0.000713,0.000713,0.000713
15,61.9945,0.84664,0.88101,0.91106,0.79574,0.80999,0.85957,0.6833,0.74512,0.85156,0.90553,0.000614,0.000614,0.000614
16,65.5266,0.79983,0.88259,0.90385,0.77829,0.84717,0.85906,0.69614,0.73172,0.82031,0.90359,0.000515,0.000515,0.000515
17,69.3164,0.74935,0.83839,0.90267,0.77479,0.86408,0.86044,0.69543,0.70922,0.80446,0.89443,0.000416,0.000416,0.000416
18,72.6274,0.76888,0.81869,0.9028,0.7873,0.84743,0.86938,0.70546,0.71199,0.80043,0.89834,0.000317,0.000317,0.000317
19,76.0166,0.72919,0.81797,0.90052,0.76989,0.86312,0.87495,0.70801,0.71115,0.78778,0.89856,0.000218,0.000218,0.000218
20,79.6313,0.7377,0.79236,0.892,0.76101,0.88072,0.87963,0.71654,0.6982,0.76652,0.89313,0.000119,0.000119,0.000119
