epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.34215,1.49571,3.01159,1.27263,0.81784,0.16191,0.34146,0.24161,1.11298,2.58886,1.04239,0.00026,0.00026,0.00026
2,9.72835,1.18861,1.42213,1.01973,0.8232,0.25186,0.57026,0.39936,0.93974,2.26103,0.96446,0.00051327,0.00051327,0.00051327
3,13.1809,1.01821,1.26345,1.00578,0.04475,0.90985,0.54241,0.35112,1.07274,2.60264,1.05555,0.00073882,0.00073882,0.00073882
4,16.8515,1.0687,1.1777,0.98955,0.80693,0.37032,0.56125,0.38568,1.05891,2.08295,1.02554,0.00093665,0.00093665,0.00093665
5,20.2992,1.02146,1.07876,0.97643,0.74949,0.52285,0.66768,0.4471,1.00967,1.86641,1.01051,0.00110676,0.00110676,0.00110676
6,23.507,0.97882,1.04991,0.97576,0.69976,0.66591,0.71445,0.51856,0.95344,1.53413,0.9968,0.00124915,0.00124915,0.00124915
7,27.3599,0.99248,1.0134,0.97731,0.68809,0.64494,0.68979,0.50381,0.968,1.67568,1.02243,0.00136382,0.00136382,0.00136382
8,30.9444,0.9342,1.00917,0.96179,0.73391,0.76006,0.79674,0.57404,0.93074,1.18088,0.99046,0.001307,0.001307,0.001307
9,34.1901,0.89488,0.94869,0.9504,0.73547,0.79822,0.81881,0.62378,0.85374,0.95355,0.95247,0.001208,0.001208,0.001208
10,37.7797,0.86307,0.94245,0.94728,0.73899,0.79322,0.81897,0.63817,0.78411,0.98172,0.92516,0.001109,0.001109,0.001109
11,41.9287,0.83507,0.93631,0.93668,0.71216,0.86476,0.79139,0.60431,0.80254,0.94727,0.95092,0.00101,0.00101,0.00101
12,44.6933,0.81106,0.91812,0.93135,0.75325,0.83408,0.82068,0.64682,0.77772,0.9706,0.95458,0.000911,0.000911,0.000911
13,48.1887,0.79024,0.9652,0.91822,0.73313,0.83495,0.79761,0.61163,0.81808,0.95068,0.96996,0.000812,0.000812,0.000812
14,50.8501,0.81355,0.91007,0.90772,0.74298,0.83218,0.82303,0.65975,0.74038,1.05469,0.94204,0.000713,0.000713,0.000713
15,53.5043,0.80568,0.84747,0.90837,0.79782,0.83634,0.86102,0.68901,0.744,0.84979,0.94601,0.000614,0.000614,0.000614
16,56.587,0.7849,0.84285,0.90247,0.77574,0.86836,0.87361,0.70415,0.70929,0.82843,0.90474,0.000515,0.000515,0.000515
17,59.2249,0.73357,0.80271,0.90382,0.75875,0.87795,0.86774,0.70648,0.69459,0.78881,0.89911,0.000416,0.000416,0.000416
18,61.927,0.74753,0.77735,0.90161,0.75891,0.85135,0.85155,0.69494,0.68831,0.77586,0.89554,0.000317,0.000317,0.000317
19,64.4531,0.69874,0.76992,0.89442,0.77483,0.8613,0.87143,0.71447,0.67108,0.75127,0.88981,0.000218,0.000218,0.000218
20,67.4422,0.71938,0.75084,0.88913,0.79497,0.84605,0.87787,0.72055,0.67374,0.72453,0.8922,0.000119,0.000119,0.000119
